take,object_id,side,frame,label,opposition,gap3d_mm,tip_gap_mm,winding_consistent
screw_unscrew_bottle_cap/0,object_0,left,30,,0.4082,0.418,15.72,True
screw_unscrew_bottle_cap/0,object_0,left,31,,0.408,0.094,17.69,True
screw_unscrew_bottle_cap/0,object_0,left,32,,0.4172,0.26,14.55,True
screw_unscrew_bottle_cap/0,object_0,left,33,,0.4523,0.138,11.05,True
screw_unscrew_bottle_cap/0,object_0,left,34,,0.4497,0.299,9.96,True
screw_unscrew_bottle_cap/0,object_0,left,35,,0.463,0.301,10.47,True
screw_unscrew_bottle_cap/0,object_0,left,36,,0.4511,0.088,10.28,True
screw_unscrew_bottle_cap/0,object_0,left,37,,0.4589,0.164,9.92,True
screw_unscrew_bottle_cap/0,object_0,left,38,,0.4703,0.143,10.02,True
screw_unscrew_bottle_cap/0,object_0,left,39,,0.4607,0.241,10.07,True
screw_unscrew_bottle_cap/0,object_0,left,40,,0.4811,0.257,10.15,True
screw_unscrew_bottle_cap/0,object_0,left,41,,0.4593,0.196,10.08,True
screw_unscrew_bottle_cap/0,object_0,left,42,positive,0.4713,0.254,10.2,True
screw_unscrew_bottle_cap/0,object_0,left,43,positive,0.4571,0.297,10.34,True
screw_unscrew_bottle_cap/0,object_0,left,44,positive,0.4616,0.126,10.58,True
screw_unscrew_bottle_cap/0,object_0,left,45,positive,0.4558,0.137,10.69,True
screw_unscrew_bottle_cap/0,object_0,left,46,positive,0.4392,0.164,10.65,True
screw_unscrew_bottle_cap/0,object_0,left,47,positive,0.4472,0.186,10.57,True
screw_unscrew_bottle_cap/0,object_0,left,48,positive,0.5545,0.307,10.5,True
screw_unscrew_bottle_cap/0,object_0,left,49,positive,0.4672,0.136,10.45,True
screw_unscrew_bottle_cap/0,object_0,left,50,positive,0.4834,0.222,10.31,True
screw_unscrew_bottle_cap/0,object_0,left,51,positive,0.495,0.17,10.31,True
screw_unscrew_bottle_cap/0,object_0,left,52,positive,0.4973,0.166,10.21,True
screw_unscrew_bottle_cap/0,object_0,left,53,positive,0.4965,0.149,10.15,True
screw_unscrew_bottle_cap/0,object_0,left,54,positive,0.5006,0.2,10.37,True
screw_unscrew_bottle_cap/0,object_0,left,55,positive,0.4985,0.322,10.27,True
screw_unscrew_bottle_cap/0,object_0,left,56,positive,0.4973,0.122,10.39,True
screw_unscrew_bottle_cap/0,object_0,left,57,positive,0.495,0.181,10.44,True
screw_unscrew_bottle_cap/0,object_0,left,58,positive,0.4964,0.261,10.41,True
screw_unscrew_bottle_cap/0,object_0,left,59,positive,0.4938,0.165,11.0,True
screw_unscrew_bottle_cap/0,object_0,left,60,positive,0.5766,0.152,11.45,True
screw_unscrew_bottle_cap/0,object_0,left,61,positive,0.5616,0.174,12.07,True
screw_unscrew_bottle_cap/0,object_0,left,62,,0.5495,0.27,11.99,True
screw_unscrew_bottle_cap/0,object_0,left,63,,0.5407,0.362,11.98,True
screw_unscrew_bottle_cap/0,object_0,left,64,,0.4442,0.428,11.52,True
screw_unscrew_bottle_cap/0,object_0,left,65,,0.5406,0.187,12.17,True
screw_unscrew_bottle_cap/0,object_0,left,66,,0.4947,0.302,12.83,True
screw_unscrew_bottle_cap/0,object_0,left,67,,0.4963,0.281,13.3,True
screw_unscrew_bottle_cap/0,object_0,left,68,,0.4963,0.296,13.48,True
screw_unscrew_bottle_cap/0,object_0,left,69,,0.5021,0.338,12.96,True
screw_unscrew_bottle_cap/0,object_0,left,70,,0.532,0.35,13.12,True
screw_unscrew_bottle_cap/0,object_0,left,71,,0.5228,0.304,13.43,True
screw_unscrew_bottle_cap/0,object_0,left,72,,0.4688,0.21,14.48,True
screw_unscrew_bottle_cap/0,object_0,left,73,,0.5252,0.412,14.57,True
screw_unscrew_bottle_cap/0,object_0,left,74,,0.5291,0.527,12.88,True
screw_unscrew_bottle_cap/0,object_0,left,75,,0.5291,0.18,11.84,True
screw_unscrew_bottle_cap/0,object_0,left,76,,0.4487,0.197,10.96,True
screw_unscrew_bottle_cap/0,object_0,left,77,,0.4571,0.315,10.54,True
screw_unscrew_bottle_cap/0,object_0,left,78,,0.4433,0.473,10.53,True
screw_unscrew_bottle_cap/0,object_0,left,79,,0.431,0.132,10.91,True
screw_unscrew_bottle_cap/0,object_0,left,80,,0.5349,0.027,10.71,True
screw_unscrew_bottle_cap/0,object_0,left,81,,0.5364,0.204,10.81,True
screw_unscrew_bottle_cap/0,object_0,left,82,,0.4392,0.163,9.91,True
screw_unscrew_bottle_cap/0,object_0,left,83,,0.5006,0.269,10.35,True
screw_unscrew_bottle_cap/0,object_0,left,84,,0.4779,0.175,10.96,True
screw_unscrew_bottle_cap/0,object_0,left,85,,0.4733,0.257,11.47,True
screw_unscrew_bottle_cap/0,object_0,left,86,,0.4715,0.38,12.29,True
screw_unscrew_bottle_cap/0,object_0,left,87,,0.459,0.454,11.95,True
screw_unscrew_bottle_cap/0,object_0,left,88,,0.4499,0.165,11.39,True
screw_unscrew_bottle_cap/0,object_0,left,89,,0.4653,0.264,11.97,True
screw_unscrew_bottle_cap/0,object_0,left,90,,0.3703,0.452,11.54,True
screw_unscrew_bottle_cap/0,object_0,left,91,,0.3686,0.236,11.57,True
screw_unscrew_bottle_cap/0,object_0,left,92,,0.3713,0.305,12.11,True
screw_unscrew_bottle_cap/0,object_0,left,93,,0.3763,0.183,11.43,True
screw_unscrew_bottle_cap/0,object_0,left,94,,0.4276,0.191,11.97,True
screw_unscrew_bottle_cap/0,object_0,left,95,,0.3523,0.329,11.44,True
screw_unscrew_bottle_cap/0,object_0,left,96,,0.4401,0.446,11.51,True
screw_unscrew_bottle_cap/0,object_0,left,97,,0.4628,0.492,12.14,True
screw_unscrew_bottle_cap/0,object_0,left,98,,0.4779,0.353,12.39,True
screw_unscrew_bottle_cap/0,object_0,left,99,,0.4225,0.263,12.43,True
screw_unscrew_bottle_cap/0,object_0,left,100,,0.4927,0.239,12.75,True
screw_unscrew_bottle_cap/0,object_0,left,101,,0.5142,0.234,13.01,True
screw_unscrew_bottle_cap/0,object_0,left,102,,0.4788,0.341,14.06,True
screw_unscrew_bottle_cap/0,object_0,left,103,,0.4413,0.197,12.15,True
screw_unscrew_bottle_cap/0,object_0,left,104,,0.4169,0.201,12.61,True
screw_unscrew_bottle_cap/0,object_0,left,105,,0.4499,0.211,14.7,True
screw_unscrew_bottle_cap/0,object_0,left,106,,0.4001,0.191,18.73,True
screw_unscrew_bottle_cap/0,object_0,left,107,negative_release,0.3792,0.21,18.15,True
screw_unscrew_bottle_cap/0,object_0,left,108,negative_release,0.2975,0.322,18.91,True
screw_unscrew_bottle_cap/0,object_0,left,109,negative_release,0.3387,0.256,19.51,True
screw_unscrew_bottle_cap/0,object_0,left,110,negative_release,0.3463,0.222,20.35,True
screw_unscrew_bottle_cap/0,object_0,left,111,negative_release,0.3304,0.081,20.19,True
screw_unscrew_bottle_cap/0,object_0,left,112,negative_release,0.318,0.384,20.19,True
screw_unscrew_bottle_cap/0,object_0,left,113,negative_release,0.3083,0.48,20.13,True
screw_unscrew_bottle_cap/0,object_0,left,114,negative_release,0.3103,0.141,19.93,True
screw_unscrew_bottle_cap/0,object_0,left,115,negative_release,0.3233,0.153,19.97,True
screw_unscrew_bottle_cap/0,object_0,left,116,negative_release,0.346,0.261,20.25,True
screw_unscrew_bottle_cap/0,object_0,left,117,negative_release,0.3412,0.224,21.06,True
screw_unscrew_bottle_cap/0,object_0,left,118,negative_release,0.3412,0.196,21.7,True
screw_unscrew_bottle_cap/0,object_0,left,119,negative_release,0.3517,0.355,22.33,True
screw_unscrew_bottle_cap/0,object_0,left,120,negative_release,0.351,0.371,22.48,True
screw_unscrew_bottle_cap/0,object_0,left,121,negative_release,0.3541,0.09,22.14,True
screw_unscrew_bottle_cap/0,object_0,left,122,negative_release,0.3503,0.409,22.01,True
screw_unscrew_bottle_cap/0,object_0,left,123,negative_release,0.3447,0.152,21.79,True
screw_unscrew_bottle_cap/0,object_0,left,124,negative_release,0.3602,0.248,21.72,True
screw_unscrew_bottle_cap/0,object_0,left,125,negative_release,0.3558,0.312,21.64,True
screw_unscrew_bottle_cap/0,object_0,left,126,negative_release,0.3602,0.107,22.44,True
screw_unscrew_bottle_cap/0,object_0,left,127,negative_release,0.3496,0.2,23.66,True
screw_unscrew_bottle_cap/0,object_0,left,128,negative_release,0.3596,0.434,25.75,True
screw_unscrew_bottle_cap/0,object_0,left,129,,0.3411,0.176,27.7,True
screw_unscrew_bottle_cap/0,object_0,left,130,,0.3114,0.239,28.84,True
screw_unscrew_bottle_cap/0,object_0,left,131,,0.2895,0.133,27.42,True
screw_unscrew_bottle_cap/0,object_0,left,132,,0.2404,0.261,24.32,True
screw_unscrew_bottle_cap/0,object_0,right,47,negative_not_grasp,0.0468,42.003,60.16,True
screw_unscrew_bottle_cap/0,object_0,right,48,negative_not_grasp,0.0472,40.939,58.05,True
screw_unscrew_bottle_cap/0,object_0,right,49,negative_not_grasp,0.0385,41.978,57.87,True
screw_unscrew_bottle_cap/0,object_0,right,50,negative_not_grasp,0.0434,42.72,57.94,True
screw_unscrew_bottle_cap/0,object_0,right,51,negative_not_grasp,0.0439,43.362,57.93,True
screw_unscrew_bottle_cap/0,object_0,right,52,negative_not_grasp,0.0417,43.377,57.46,True
screw_unscrew_bottle_cap/0,object_0,right,53,negative_not_grasp,0.0408,44.183,57.2,True
screw_unscrew_bottle_cap/0,object_0,right,54,negative_not_grasp,0.0325,44.034,56.44,True
screw_unscrew_bottle_cap/0,object_0,right,55,negative_not_grasp,0.0944,42.681,56.35,True
screw_unscrew_bottle_cap/0,object_0,right,56,negative_not_grasp,0.033,41.516,55.88,True
screw_unscrew_bottle_cap/0,object_0,right,57,negative_not_grasp,0.0291,39.117,54.86,True
screw_unscrew_bottle_cap/0,object_0,right,58,negative_not_grasp,0.0295,36.151,52.08,True
screw_unscrew_bottle_cap/0,object_0,right,59,negative_not_grasp,0.0254,33.261,49.51,True
screw_unscrew_bottle_cap/0,object_0,right,60,negative_not_grasp,0.0398,30.206,47.87,True
screw_unscrew_bottle_cap/0,object_0,right,61,negative_not_grasp,0.0323,27.979,45.22,True
screw_unscrew_bottle_cap/0,object_0,right,62,negative_not_grasp,0.0457,25.996,45.28,True
screw_unscrew_bottle_cap/0,object_0,right,63,negative_not_grasp,0.0477,22.64,44.78,True
screw_unscrew_bottle_cap/0,object_0,right,64,negative_not_grasp,0.0471,17.612,41.51,True
screw_unscrew_bottle_cap/0,object_0,right,65,negative_not_grasp,0.0507,16.617,41.26,True
screw_unscrew_bottle_cap/0,object_0,right,66,negative_not_grasp,0.0524,17.272,41.71,True
screw_unscrew_bottle_cap/0,object_0,right,67,negative_not_grasp,0.0563,17.909,42.44,True
screw_unscrew_bottle_cap/0,object_0,right,68,negative_not_grasp,0.0646,18.779,47.52,True
screw_unscrew_bottle_cap/0,object_0,right,69,negative_not_grasp,0.1123,23.844,52.83,True
screw_unscrew_bottle_cap/0,object_0,right,70,negative_not_grasp,0.1009,27.423,56.08,True
screw_unscrew_bottle_cap/0,object_0,right,71,negative_not_grasp,0.1038,29.211,56.5,True
screw_unscrew_bottle_cap/0,object_0,right,72,negative_not_grasp,0.102,28.42,53.14,True
screw_unscrew_bottle_cap/0,object_0,right,73,negative_not_grasp,0.1192,13.813,47.19,True
screw_unscrew_bottle_cap/0,object_0,right,74,negative_not_grasp,0.1579,0.345,39.09,True
screw_unscrew_bottle_cap/0,object_0,right,75,negative_not_grasp,0.2489,7.59,40.58,True
screw_unscrew_bottle_cap/0,object_0,right,76,negative_not_grasp,0.1901,23.382,43.61,True
screw_unscrew_bottle_cap/0,object_0,right,77,negative_not_grasp,0.1272,36.28,47.27,True
screw_unscrew_bottle_cap/0,object_0,right,78,negative_not_grasp,0.0828,37.314,47.6,True
screw_unscrew_bottle_cap/0,object_0,right,79,negative_not_grasp,0.0951,39.792,47.71,True
screw_unscrew_bottle_cap/0,object_0,right,80,negative_not_grasp,0.0928,40.766,48.36,True
screw_unscrew_bottle_cap/0,object_0,right,81,negative_not_grasp,0.0427,40.668,49.55,True
screw_unscrew_bottle_cap/0,object_0,right,82,negative_not_grasp,0.0397,39.655,50.33,True
screw_unscrew_bottle_cap/0,object_0,right,83,negative_not_grasp,0.0316,35.585,50.51,True
screw_unscrew_bottle_cap/0,object_0,right,84,negative_not_grasp,0.0405,29.555,48.43,True
screw_unscrew_bottle_cap/0,object_0,right,85,negative_not_grasp,0.0366,28.472,50.74,True
screw_unscrew_bottle_cap/0,object_0,right,86,negative_not_grasp,0.0426,29.27,52.6,True
screw_unscrew_bottle_cap/0,object_0,right,87,negative_not_grasp,0.0474,30.078,55.25,True
screw_unscrew_bottle_cap/0,object_0,right,88,negative_not_grasp,0.0532,29.227,57.27,True
screw_unscrew_bottle_cap/0,object_0,right,89,negative_not_grasp,0.0529,30.666,51.67,True
screw_unscrew_bottle_cap/0,object_0,right,90,negative_not_grasp,0.0952,31.846,49.44,True
screw_unscrew_bottle_cap/0,object_0,right,91,negative_not_grasp,0.1099,25.835,47.97,True
screw_unscrew_bottle_cap/0,object_0,right,92,negative_not_grasp,0.137,24.003,47.26,True
screw_unscrew_bottle_cap/0,object_0,right,93,negative_not_grasp,0.1147,25.562,47.89,True
screw_unscrew_bottle_cap/0,object_0,right,94,negative_not_grasp,0.0887,26.363,44.9,True
screw_unscrew_bottle_cap/0,object_0,right,95,negative_not_grasp,0.1057,28.11,45.17,True
screw_unscrew_bottle_cap/0,object_1,right,10,,0.5528,9.246,35.62,True
screw_unscrew_bottle_cap/0,object_1,right,11,,0.7991,0.15,31.97,True
screw_unscrew_bottle_cap/0,object_1,right,12,,0.8,0.066,28.27,True
screw_unscrew_bottle_cap/0,object_1,right,13,,0.8,0.171,27.72,True
screw_unscrew_bottle_cap/0,object_1,right,14,,0.8,0.073,25.95,True
screw_unscrew_bottle_cap/0,object_1,right,15,,0.1754,0.171,24.72,True
screw_unscrew_bottle_cap/0,object_1,right,16,,0.2927,0.105,22.75,True
screw_unscrew_bottle_cap/0,object_1,right,17,,0.4932,0.102,20.45,True
screw_unscrew_bottle_cap/0,object_1,right,18,,0.8,0.174,19.36,True
screw_unscrew_bottle_cap/0,object_1,right,19,positive,0.7321,0.116,18.93,True
screw_unscrew_bottle_cap/0,object_1,right,20,positive,0.5657,0.143,19.17,True
screw_unscrew_bottle_cap/0,object_1,right,21,positive,0.8,0.151,18.66,True
screw_unscrew_bottle_cap/0,object_1,right,22,positive,0.5528,0.071,18.31,True
screw_unscrew_bottle_cap/0,object_1,right,23,positive,0.5528,0.062,17.92,True
screw_unscrew_bottle_cap/0,object_1,right,24,positive,0.8,0.092,16.28,True
screw_unscrew_bottle_cap/0,object_1,right,25,positive,0.8,0.142,14.94,True
screw_unscrew_bottle_cap/0,object_1,right,26,positive,0.7608,0.05,15.48,True
screw_unscrew_bottle_cap/0,object_1,right,27,positive,0.8,0.103,17.29,True
screw_unscrew_bottle_cap/0,object_1,right,28,positive,0.7992,0.171,22.21,True
screw_unscrew_bottle_cap/0,object_1,right,29,positive,0.5497,2.667,27.16,True
screw_unscrew_bottle_cap/0,object_1,right,30,,0.1754,7.017,32.6,True
screw_unscrew_bottle_cap/0,object_1,right,31,,0.1754,7.954,38.63,True
screw_unscrew_bottle_cap/0,object_1,right,32,,0.0,11.619,47.19,True
screw_unscrew_bottle_cap/0,object_1,right,33,,0.1754,20.742,58.45,True
screw_unscrew_bottle_cap/0,object_1,right,34,,0.0,27.388,66.68,True
screw_unscrew_bottle_cap/0,object_1,right,35,,0.0,27.205,67.69,True
screw_unscrew_bottle_cap/0,object_1,right,36,,0.1754,27.41,67.55,True
screw_unscrew_bottle_cap/0,object_1,right,37,,0.0,33.016,73.76,True
screw_unscrew_bottle_cap/0,object_1,right,38,,0.1754,37.867,78.73,True
screw_unscrew_bottle_cap/0,object_1,right,39,,0.1754,40.415,80.61,True
screw_unscrew_bottle_cap/0,object_1,right,40,,0.1754,46.221,87.13,True
screw_unscrew_bottle_cap/0,object_1,right,41,,0.0,62.654,103.23,True
screw_unscrew_bottle_cap/0,object_1,right,42,,0.0,74.1,114.01,True
screw_unscrew_bottle_cap/0,object_1,right,43,,0.0,90.437,129.38,True
screw_unscrew_bottle_cap/0,object_1,right,44,,0.1754,108.3,146.37,True
screw_unscrew_bottle_cap/0,object_1,right,45,,0.1754,129.196,167.01,True
screw_unscrew_bottle_cap/0,object_1,right,46,,0.1754,147.574,185.85,True
screw_unscrew_bottle_cap/0,object_1,right,47,,0.2789,165.196,203.27,True
screw_unscrew_bottle_cap/0,object_1,right,48,,0.405,182.128,218.39,True
screw_unscrew_bottle_cap/0,object_1,right,49,,0.3389,196.854,233.58,True
screw_unscrew_bottle_cap/0,object_1,right,50,,0.1754,212.576,249.64,True
screw_unscrew_bottle_cap/0,object_1,right,51,,0.2789,227.776,265.28,True
screw_unscrew_bottle_cap/0,object_1,right,52,,0.1754,240.188,278.65,True
screw_unscrew_bottle_cap/0,object_1,right,53,,0.1754,250.809,289.57,True
screw_unscrew_bottle_cap/0,object_1,right,54,,0.0,258.862,297.91,True
screw_unscrew_bottle_cap/0,object_1,right,55,,0.0,266.44,305.41,True
screw_unscrew_bottle_cap/0,object_1,right,56,,0.0,272.836,311.66,True
screw_unscrew_bottle_cap/0,object_1,right,57,,0.0,279.365,317.11,True
screw_unscrew_bottle_cap/0,object_1,right,58,,0.0,284.412,320.34,True
screw_unscrew_bottle_cap/0,object_1,right,59,,0.0,287.691,322.7,True
screw_unscrew_bottle_cap/0,object_1,right,60,,0.0,290.821,325.25,True
screw_unscrew_bottle_cap/0,object_1,right,61,,0.0,294.464,328.22,True
screw_unscrew_bottle_cap/0,object_1,right,62,,0.0,301.908,336.43,True
screw_unscrew_bottle_cap/0,object_1,right,63,,0.0,308.525,344.07,True
screw_unscrew_bottle_cap/0,object_1,right,64,,0.0,316.735,352.5,True
screw_unscrew_bottle_cap/0,object_1,right,65,,0.0,320.34,358.62,True
screw_unscrew_bottle_cap/0,object_1,right,66,,0.0,324.491,364.04,True
screw_unscrew_bottle_cap/0,object_1,right,67,,0.0,329.568,369.57,True
screw_unscrew_bottle_cap/0,object_1,right,68,,0.0,331.651,374.49,True
screw_unscrew_bottle_cap/0,object_1,right,69,,0.0,331.658,376.05,True
screw_unscrew_bottle_cap/0,object_1,right,70,,0.0,330.996,375.68,True
screw_unscrew_bottle_cap/0,object_1,right,71,,0.0,333.267,377.31,True
screw_unscrew_bottle_cap/0,object_1,right,72,,0.0,334.39,376.77,True
screw_unscrew_bottle_cap/0,object_1,right,73,,0.0,337.587,377.59,True
screw_unscrew_bottle_cap/0,object_1,right,74,,0.0,339.132,376.46,True
screw_unscrew_bottle_cap/0,object_1,right,75,,0.0,344.046,378.19,True
screw_unscrew_bottle_cap/0,object_1,right,76,,0.0,355.146,387.9,True
screw_unscrew_bottle_cap/0,object_1,right,77,,0.0,371.037,403.74,True
screw_unscrew_bottle_cap/0,object_1,right,78,,0.0,390.645,423.8,True
screw_unscrew_bottle_cap/0,object_1,right,79,,0.0,407.782,438.03,True
screw_unscrew_bottle_cap/0,object_1,right,80,,0.0,417.505,446.58,True
screw_unscrew_bottle_cap/0,object_1,right,81,,0.0,426.789,456.24,True
screw_unscrew_bottle_cap/0,object_1,right,82,,0.0,438.86,469.23,True
screw_unscrew_bottle_cap/0,object_1,right,83,,0.0,450.586,484.88,True
screw_unscrew_bottle_cap/0,object_1,right,84,,0.0,461.934,496.69,True
screw_unscrew_bottle_cap/0,object_1,right,85,,0.0,469.6,504.37,True
screw_unscrew_bottle_cap/0,object_1,right,86,,0.0,467.984,502.74,True
screw_unscrew_bottle_cap/0,object_1,right,87,,0.0,468.79,504.61,True
screw_unscrew_bottle_cap/0,object_1,right,88,,0.0,472.723,509.88,True
screw_unscrew_bottle_cap/0,object_1,right,89,,0.0,476.628,513.22,True
screw_unscrew_bottle_cap/0,object_1,right,90,,0.0,477.558,515.18,True
screw_unscrew_bottle_cap/0,object_1,right,91,,0.0,482.286,520.0,True
screw_unscrew_bottle_cap/0,object_1,right,92,,0.0,490.082,527.65,True
screw_unscrew_bottle_cap/0,object_1,right,93,,0.0,503.514,541.6,True
screw_unscrew_bottle_cap/0,object_1,right,94,,0.0,515.03,552.3,True
screw_unscrew_bottle_cap/0,object_1,right,95,,0.0,527.503,562.73,True
pour/17,object_0,left,0,,0.8058,0.444,24.39,True
pour/17,object_0,left,1,,0.8038,0.314,23.83,True
pour/17,object_0,left,2,,0.8033,0.38,23.89,True
pour/17,object_0,left,3,,0.8071,0.531,23.39,True
pour/17,object_0,left,4,,0.8021,0.387,23.37,True
pour/17,object_0,left,5,,0.8048,0.338,23.13,True
pour/17,object_0,left,6,,0.7922,0.405,22.87,True
pour/17,object_0,left,7,,0.7999,0.359,23.02,True
pour/17,object_0,left,8,,0.8083,0.236,22.3,True
pour/17,object_0,left,9,,0.8088,0.542,22.67,True
pour/17,object_0,left,10,,0.8196,0.393,23.31,True
pour/17,object_0,left,11,,0.8273,0.432,23.69,True
pour/17,object_0,left,12,,0.424,0.635,25.61,True
pour/17,object_0,left,13,,0.422,0.59,26.54,True
pour/17,object_0,left,14,,0.0309,0.316,28.02,True
pour/17,object_0,left,15,,0.414,0.548,26.63,True
pour/17,object_0,left,16,,0.4189,0.407,25.27,True
pour/17,object_0,left,17,,0.4224,0.207,24.79,True
pour/17,object_0,left,18,,0.8205,0.637,24.1,True
pour/17,object_0,left,19,,0.8283,0.179,21.84,True
pour/17,object_0,left,20,,0.8249,0.171,21.7,True
pour/17,object_0,left,21,,0.7755,0.283,21.97,True
pour/17,object_0,left,22,,0.7603,0.222,22.1,True
pour/17,object_0,left,23,,0.8213,0.507,22.46,True
pour/17,object_0,left,24,,0.8128,0.274,23.79,True
pour/17,object_0,left,25,,0.7819,0.198,24.49,True
pour/17,object_0,left,26,,0.8008,0.249,25.49,True
pour/17,object_0,left,27,,0.8444,0.401,26.52,True
pour/17,object_0,left,28,,0.8548,0.512,26.8,True
pour/17,object_0,left,29,,0.8819,0.441,26.72,True
pour/17,object_0,left,30,,0.892,0.249,26.95,True
pour/17,object_0,left,31,,0.8998,0.705,26.99,True
pour/17,object_0,left,32,,0.9405,0.499,27.8,True
pour/17,object_0,left,33,,0.9599,0.593,27.78,True
pour/17,object_0,left,34,,0.594,0.308,27.28,True
pour/17,object_0,left,35,,0.588,0.314,27.51,True
pour/17,object_0,left,36,,0.5972,0.349,28.03,True
pour/17,object_0,left,37,,0.5871,0.269,25.44,True
pour/17,object_0,left,38,,0.5699,0.502,23.66,True
pour/17,object_0,left,39,,0.5591,0.424,30.33,True
pour/17,object_0,left,40,,0.9223,0.221,33.22,True
pour/17,object_0,left,41,,0.6424,0.386,32.27,True
pour/17,object_0,left,42,,0.8436,0.424,29.11,True
pour/17,object_0,left,43,,0.8093,0.458,27.32,True
pour/17,object_0,left,44,,0.8112,0.412,26.98,True
pour/17,object_0,left,45,,0.8339,0.236,28.22,True
pour/17,object_0,left,46,,0.8089,0.352,28.26,True
pour/17,object_0,left,47,,0.8273,0.145,28.57,True
pour/17,object_0,left,48,,0.8245,0.287,28.56,True
pour/17,object_0,left,49,,0.8146,0.312,27.53,True
pour/17,object_0,left,50,,0.8039,0.25,26.25,True
pour/17,object_0,left,51,,0.786,0.393,24.21,True
pour/17,object_0,left,52,,0.7587,0.416,22.2,True
pour/17,object_0,left,53,,0.7362,0.291,20.63,True
pour/17,object_0,left,54,,0.8292,0.446,20.61,True
pour/17,object_0,left,55,,0.8162,0.504,18.94,True
pour/17,object_0,left,56,,0.6464,0.478,15.73,True
pour/17,object_0,left,57,,0.5624,0.269,9.07,True
pour/17,object_0,left,58,,0.8112,0.242,7.69,True
pour/17,object_0,left,59,,0.1175,0.303,9.42,True
pour/17,object_0,left,60,,0.5443,0.336,6.16,True
pour/17,object_0,left,61,,0.6361,0.264,9.1,True
pour/17,object_0,left,62,,0.6358,0.467,11.11,True
pour/17,object_0,left,63,,0.6224,0.244,9.85,True
pour/17,object_0,left,64,,0.6304,0.367,8.98,True
pour/17,object_0,left,65,,0.6288,0.207,9.88,True
pour/17,object_0,left,66,,0.6147,0.517,8.82,True
pour/17,object_0,left,67,,0.6226,0.45,8.8,True
pour/17,object_0,left,68,positive,0.6272,0.243,8.37,True
pour/17,object_0,left,69,positive,0.6185,0.347,7.42,True
pour/17,object_0,left,70,positive,0.6332,0.243,7.9,True
pour/17,object_0,left,71,positive,0.6289,0.297,8.04,True
pour/17,object_0,left,72,positive,0.6099,0.322,7.5,True
pour/17,object_0,left,73,positive,0.6187,0.076,7.28,True
pour/17,object_0,left,74,positive,0.6222,0.566,7.86,True
pour/17,object_0,left,75,positive,0.6163,0.314,8.31,True
pour/17,object_0,left,76,positive,0.6133,0.201,8.24,True
pour/17,object_0,left,77,positive,0.6085,0.191,7.79,True
pour/17,object_0,left,78,positive,0.6046,0.051,8.2,True
pour/17,object_0,left,79,positive,0.6059,0.231,7.34,True
pour/17,object_0,left,80,positive,0.5984,0.415,7.17,True
pour/17,object_0,left,81,positive,0.6026,0.137,7.66,True
pour/17,object_0,left,82,,0.5995,0.165,8.45,True
pour/17,object_0,left,83,,0.1806,0.352,14.11,True
pour/17,object_0,left,84,,0.1758,0.221,21.39,True
pour/17,object_0,left,85,,0.1644,0.209,27.01,True
pour/17,object_0,left,86,,0.1423,0.542,34.47,True
pour/17,object_0,left,87,,0.1607,0.151,37.56,True
